name,city,country_code,size
Serendipity Beach Resort Koh Lipe,Ko Lipe,th,12
Hotel Radhakrishna,Madurai,in,38
Family Hotel Coral,Sozopol,bg,15
Forever Inn,Taipei,tw,19
Wuyishan Huanyu Tourist Club,Wuyishan,cn,12
Hotel Dona Sofia,Braga,pt,34
Hosteria Luz de Luna,Valeria del Mar,ar,16
Arroyo Village Inn,Arroyo Grande (California),us,15
Guang Ke Hotel,Chongqing,cn,29
Aspen Inn,Smithers (British Columbia),ca,60
Zaluuchuud Hotel Ulaanbaatar,Ulaanbaatar,mn,42
Khaosan Tokyo Kabuki,Tokyo,jp,11
Ballymaloe House,Shanagarry,ie,29
Biruza Hotel,Uznezya,ru,23
On The Stone Guesthouse,Seogwipo,kr,40
Toyoko Inn Busan Haeundae 2,Busan,kr,510
Village View Motel,Kulim,my,13
Durban Manor Hotel and Conference Centre,Durban,za,37
Hotel Baeza,Goiatuba (Goias),br,40
Auberge l'autre jardin,Quebec City,ca,29
Kormoran,SulÄ™cin,pl,28
La Quinta Inn & Suites Tumwater,Tumwater (Washington),us,80
Kur- und Sporthotel Interest,Oberstaufen,de,49
The Dog & Doublet Inn,Staffordshire,gb,11
Hotel Belvedere,Forio d' Ischia,it,26
Hotel O Portelo Rural,Allariz,es,12
AzurĂ¨va Le Grau du Roi,Le Grau du Roi,fr,104
Plum Creek Inn,Lockhart,us,60
Hotel City Star,Perm,ru,76
Wild Flower Retreat,Ravangla,in,14
Chitose Airport Hotel,Chitose,jp,88
Apartaments Inter EsquĂ­,Canillo,ad,12
Borgo Della Marmotta,Spoleto,it,11
Kos Hotel Junior Suites,Kos Town,gr,66
Barton Villa,Dukinfield,gb,19
Ximala Business Hotel - Jia He Branch,Guangzhou,cn,72
Hotel Real Villa Bella,Ilhabela (Sao Paulo),br,32
Bormon Hotel,Nova Veneza (Santa Catarina),br,32
Pousada Lagoa Azul Praia Seca,Araruama (Rio de Janeiro),br,24
Hotel Bonola,Milan,it,15
Hotel S-centrum,BeneĹˇov,cz,24
Relax Inn,Kolkata,in,11
Motel On A'Beckett,Inverloch,au,12
Garni Castel Ferari,Tuenno,it,11
Viphaphone Hotel,Phongsaly,la,31
Best Western Seattle Airport Hotel,Seattle (Washington),us,137
Angrense Hotel,Rio de Janeiro (Rio de Janeiro),br,31
ibis Koblenz City,Koblenz,de,106
Hotel U Kaplicky,PĂ­sek,cz,27
The Tongsai Bay,Choeng Mon Beach,th,83
Beijing Party Youth Hostel,Beijing,cn,44
Guangzhou Dagang Garden Hotel,Guangzhou,cn,92
Hotel la Ciudad,Barrancabermeja,co,32
Hostal Media Luna,Trujillo,pe,29
Catuai Hotel,Cacoal (Rondonia),br,82
Lal Hotel,Istanbul,tr,41
The Castle Hotel,Tsarevo,bg,57
Casa Grande Boutique Hotel,Ciudad Bolivar,ve,15
CabaĂ±as Arepo - Barrancas de Lolita,Areponapuchi,mx,12
Lanting Inn,Dunhuang,cn,13
Hotel Belveder,Pag,hr,26
Hotel Agli Olmi,San Biagio Di Callalta,it,24
